#"Step","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
15200,-34581.14679041735,295.96154635623253,0.9867775186133642
15400,-34775.539735639766,295.7860534907812,0.9945350228303939
15600,-34502.71628269872,297.7116549433239,0.9816954891912925
15800,-34574.95051711669,299.0470937641174,0.986169444137382
16000,-34566.95094001488,301.98893819046685,0.9861981501414641
16200,-34634.943958841824,292.39273944189665,0.9894262395674727
16400,-34531.63669973212,295.22176966838487,0.9947403672197856
16600,-34701.61428847128,300.5327368686709,0.9883369256182087
16800,-34701.1108836365,297.2186025293195,0.9837367664481692
17000,-34758.78756095514,294.2269704233237,0.9863180146190367
17200,-34674.50734795559,302.95964585318075,1.0014300470141735
17400,-34520.02377123539,308.63202817465856,0.9899413965773066
17600,-34395.81331423537,307.53584633224364,0.9891039150137505
17800,-34471.96995968106,295.34190214457027,0.9877395720930804
18000,-34492.40480038767,290.6020647536722,1.001362384309499
18200,-34326.46430358017,313.7405663313969,1.0023759489153363
18400,-34106.570490979175,306.6773535554526,0.9991693254759437
18600,-34268.78498247751,309.11115574981574,0.9994472936040305
18800,-34445.953405648484,320.40939657923,0.9985281941383628
19000,-34460.19966635681,313.6175113665187,1.0004034193365385
19200,-34507.85338835456,297.80626058638245,1.0017917554151958
19400,-34504.251445879556,304.54138115889623,1.00677210935061
19600,-34512.61409160476,294.8644441053421,1.0002983692107783
19800,-34634.82018188454,298.434934387328,0.9865616166155208
20000,-34828.939523833134,295.1727087441756,0.9870953593293106
20200,-34687.10764949702,301.9439530193696,0.988810672177645
20400,-34609.76811903177,300.4205021071922,0.9983118933010767
20600,-34540.887276701105,302.5415163401037,1.00724136039195
20800,-34486.64703326853,297.8516230176261,0.9958594710318744
21000,-34637.65248400739,299.4739399859891,0.9985944857396708
21200,-34596.797341227575,304.64675725963383,0.9959023951567711
21400,-34661.06397221032,297.4762190471329,1.0056523301914626
21600,-34589.26593816453,297.24873827011,1.0056523301914626
21800,-34509.58490538802,299.2207979989002,1.00375048330533
22000,-34307.76278466866,302.40576086690567,1.002300626692396
22200,-34056.96369522405,308.99467492087376,0.9975576621220296
22400,-34270.59065962881,301.0688647290604,1.0074614171093657
22600,-34326.66445798858,313.7778247150673,1.0149090990400065
22800,-34269.02654347779,303.2023987821404,1.0026191775088344
23000,-34440.83577069545,302.75075034140747,0.998453202211302
